Date,Price,Open,High,Low,Vol.,Change %
"Apr 11, 2019",5022.6,"5,307.7","5,337.0","4,948.0",943.49K,-5.37%
"Apr 10, 2019",5307.8,"5,158.4","5,404.1","5,142.9",837.51K,2.89%
"Apr 09, 2019",5158.4,"5,245.0","5,245.9","5,095.2",784.62K,-1.65%
"Apr 08, 2019",5245.2,"5,173.5","5,300.6","5,060.5",928.23K,1.38%
"Apr 07, 2019",5173.6,"5,046.1","5,219.5","5,033.7",841.27K,2.53%
"Apr 06, 2019",5046.2,"5,010.0","5,198.4","4,947.9",952.18K,0.72%
"Apr 05, 2019",5010.2,"4,902.5","5,029.4","4,888.3",851.72K,2.20%
"Apr 04, 2019",4902.4,"4,968.7","5,042.5","4,789.2",1.05M,-1.33%
"Apr 03, 2019",4968.7,"4,859.3","5,278.4","4,814.0",13.83M,2.25%
"Apr 02, 2019",4859.3,"4,145.1","4,899.6","4,143.5",14.77M,17.23%
"Apr 01, 2019",4145.1,"4,102.3","4,159.1","4,076.8",3.22M,1.04%
"Mar 31, 2019",4102.3,"4,111.8","4,121.9","4,082.2",2.43M,-0.23%
"Mar 30, 2019",4111.8,"4,103.7","4,138.1","4,057.1",2.55M,0.23%
"Mar 29, 2019",4102.2,"4,025.7","4,123.1","4,022.6",3.30M,1.90%
"Mar 28, 2019",4025.6,"4,041.7","4,041.7","4,008.4",2.11M,-0.40%
"Mar 27, 2019",4041.7,"3,942.8","4,043.3","3,936.2",2.78M,2.51%
"Mar 26, 2019",3942.8,"3,937.1","3,950.7","3,899.9",2.53M,0.15%
"Mar 25, 2019",3937.0,"3,994.8","4,000.5","3,897.9",2.86M,-1.44%
"Mar 24, 2019",3994.7,"4,002.6","4,005.7","3,967.0",2.04M,-0.20%
"Mar 23, 2019",4002.5,"3,990.4","4,018.2","3,980.8",2.00M,0.30%
"Mar 22, 2019",3990.4,"3,982.2","4,005.7","3,971.8",2.83M,0.21%
"Mar 21, 2019",3982.2,"4,041.2","4,064.0","3,923.8",3.88M,-1.46%
"Mar 20, 2019",4041.2,"4,017.0","4,050.0","3,985.3",3.18M,0.60%
"Mar 19, 2019",4017.0,"3,990.2","4,029.9","3,972.4",2.99M,0.67%
"Mar 18, 2019",3990.2,"3,981.5","4,032.3","3,958.5",2.62M,0.22%
"Mar 17, 2019",3981.5,"4,006.4","4,009.8","3,956.3",1.87M,-0.62%
"Mar 16, 2019",4006.4,"3,924.4","4,050.6","3,923.7",3.46M,2.09%
"Mar 15, 2019",3924.3,"3,879.0","3,935.7","3,874.8",3.11M,1.17%
"Mar 14, 2019",3879.0,"3,865.1","3,914.7","3,828.4",2.86M,0.36%
"Mar 13, 2019",3865.1,"3,885.9","3,894.7","3,847.4",2.28M,-0.54%
"Mar 12, 2019",3886.0,"3,870.3","3,900.1","3,817.1",2.90M,0.41%
"Mar 11, 2019",3870.3,"3,915.2","3,935.5","3,842.4",3.19M,-1.15%
"Mar 10, 2019",3915.2,"3,944.4","3,944.5","3,889.2",1.89M,-0.74%
"Mar 09, 2019",3944.3,"3,865.6","3,964.0","3,859.7",2.48M,2.03%
"Mar 08, 2019",3865.9,"3,875.1","3,929.0","3,810.7",2.96M,-0.24%
"Mar 07, 2019",3875.1,"3,863.1","3,907.4","3,847.9",2.60M,0.32%
"Mar 06, 2019",3863.0,"3,857.2","3,887.3","3,816.7",2.52M,0.15%
"Mar 05, 2019",3857.2,"3,715.9","3,873.2","3,705.7",3.82M,3.80%
"Mar 04, 2019",3715.9,"3,809.7","3,828.4","3,681.8",2.85M,-2.45%
"Mar 03, 2019",3809.5,"3,823.2","3,836.6","3,789.7",1.51M,-0.36%
"Mar 02, 2019",3823.1,"3,821.9","3,843.2","3,783.6",1.61M,0.03%
"Mar 01, 2019",3821.9,"3,816.7","3,855.8","3,816.4",1.74M,0.14%
"Feb 28, 2019",3816.6,"3,814.6","3,883.7","3,783.3",2.31M,0.05%
"Feb 27, 2019",3814.6,"3,810.3","3,836.4","3,701.9",2.82M,0.11%
"Feb 26, 2019",3810.3,"3,833.5","3,845.5","3,775.0",2.09M,-0.61%
"Feb 25, 2019",3833.7,"3,755.7","3,870.7","3,753.8",765.87K,2.09%
"Feb 24, 2019",3755.2,"4,120.5","4,194.2","3,738.7",977.78K,-8.86%
"Feb 23, 2019",4120.4,"3,965.2","4,152.6","3,939.4",727.85K,3.91%
"Feb 22, 2019",3965.2,"3,937.4","3,983.1","3,931.7",649.55K,0.73%
"Feb 21, 2019",3936.6,"3,972.0","4,011.5","3,909.2",668.16K,-0.90%
"Feb 20, 2019",3972.4,"3,914.3","3,983.6","3,881.2",698.01K,1.48%
"Feb 19, 2019",3914.3,"3,896.4","3,993.8","3,863.7",1.44M,0.47%
"Feb 18, 2019",3896.0,"3,664.2","3,903.7","3,655.1",933.15K,6.33%
"Feb 17, 2019",3664.2,"3,616.8","3,689.9","3,607.9",580.51K,1.31%
"Feb 16, 2019",3616.8,"3,604.7","3,641.9","3,599.7",485.63K,0.34%
"Feb 15, 2019",3604.7,"3,592.6","3,648.3","3,581.4",516.21K,0.34%
"Feb 14, 2019",3592.6,"3,611.5","3,624.5","3,580.2",498.14K,-0.52%
"Feb 13, 2019",3611.5,"3,632.0","3,663.5","3,599.2",558.02K,-0.56%
"Feb 12, 2019",3632.0,"3,631.8","3,656.4","3,594.4",545.82K,0.01%
"Feb 11, 2019",3631.8,"3,678.8","3,681.1","3,623.8",517.28K,-1.28%
"Feb 10, 2019",3679.0,"3,661.0","3,680.6","3,617.1",501.90K,0.48%
"Feb 09, 2019",3661.4,"3,661.6","3,675.3","3,633.2",454.80K,-0.01%
"Feb 08, 2019",3661.7,"3,397.3","3,721.1","3,382.5",699.23K,7.77%
"Feb 07, 2019",3397.7,"3,404.9","3,421.8","3,390.3",471.36K,-0.20%
"Feb 06, 2019",3404.3,"3,468.5","3,478.0","3,383.9",514.21K,-1.85%
"Feb 05, 2019",3468.4,"3,463.0","3,485.9","3,450.3",460.95K,0.16%
"Feb 04, 2019",3462.8,"3,459.0","3,479.7","3,437.1",503.92K,0.11%
"Feb 03, 2019",3459.1,"3,502.3","3,507.8","3,431.3",451.66K,-1.24%
"Feb 02, 2019",3502.5,"3,467.9","3,514.5","3,447.8",443.60K,1.00%
"Feb 01, 2019",3467.9,"3,437.7","3,485.7","3,415.3",481.58K,0.90%
"Jan 31, 2019",3437.2,"3,460.0","3,484.7","3,427.0",477.07K,-0.66%
"Jan 30, 2019",3460.0,"3,414.6","3,479.0","3,394.2",600.25K,1.32%
"Jan 29, 2019",3414.8,"3,442.8","3,450.1","3,368.2",585.46K,-0.81%
"Jan 28, 2019",3442.8,"3,555.8","3,561.2","3,395.7",620.85K,-3.17%
"Jan 27, 2019",3555.6,"3,570.9","3,583.2","3,509.2",464.02K,-0.43%
"Jan 26, 2019",3570.9,"3,572.0","3,652.5","3,556.1",432.55K,-0.03%
"Jan 25, 2019",3572.0,"3,574.3","3,582.6","3,542.2",448.89K,-0.06%
"Jan 24, 2019",3574.3,"3,561.4","3,587.0","3,539.7",428.60K,0.36%
"Jan 23, 2019",3561.5,"3,580.1","3,608.3","3,532.8",445.87K,-0.52%
"Jan 22, 2019",3580.1,"3,536.9","3,607.9","3,465.2",447.70K,1.23%
"Jan 21, 2019",3536.7,"3,542.7","3,561.4","3,505.4",394.17K,-0.16%
"Jan 20, 2019",3542.3,"3,676.2","3,699.1","3,503.9",563.31K,-3.68%
"Jan 19, 2019",3677.8,"3,605.8","3,715.2","3,604.1",537.06K,2.00%
"Jan 18, 2019",3605.6,"3,626.3","3,627.9","3,575.7",488.16K,-0.57%
"Jan 17, 2019",3626.4,"3,588.1","3,636.7","3,554.8",525.10K,1.07%
"Jan 16, 2019",3588.0,"3,570.6","3,644.1","3,561.4",487.34K,0.47%
"Jan 15, 2019",3571.3,"3,637.5","3,660.8","3,545.7",544.85K,-1.84%
"Jan 14, 2019",3638.1,"3,490.4","3,672.0","3,490.4",539.93K,4.24%
"Jan 13, 2019",3490.2,"3,597.3","3,617.6","3,473.2",452.79K,-2.98%
"Jan 12, 2019",3597.2,"3,616.6","3,633.9","3,561.3",435.06K,-0.53%
"Jan 11, 2019",3616.5,"3,603.3","3,655.7","3,563.1",551.64K,0.35%
"Jan 10, 2019",3603.7,"3,978.9","4,007.7","3,562.1",697.31K,-9.41%
"Jan 09, 2019",3978.0,"3,971.0","4,014.2","3,957.5",473.42K,0.17%
"Jan 08, 2019",3971.0,"3,985.8","4,070.5","3,943.1",514.08K,-0.37%
"Jan 07, 2019",3985.9,"4,004.3","4,028.0","3,945.5",500.88K,-0.45%
"Jan 06, 2019",4004.1,"3,785.7","4,034.1","3,758.5",529.89K,5.78%
"Jan 05, 2019",3785.4,"3,802.8","3,846.7","3,769.0",468.45K,-0.46%
"Jan 04, 2019",3802.7,"3,780.5","3,823.9","3,720.0",488.70K,0.60%
"Jan 03, 2019",3780.1,"3,874.1","3,875.8","3,753.0",450.32K,-2.42%
"Jan 02, 2019",3873.8,"3,809.7","3,894.8","3,768.1",554.47K,1.69%
"Jan 01, 2019",3809.4,"3,709.5","3,814.3","3,664.4",469.11K,2.69%
"Dec 31, 2018",3709.4,"3,815.1","3,819.6","3,658.8",545.83K,-2.77%
"Dec 30, 2018",3815.0,"3,708.2","3,837.7","3,682.5",519.17K,2.92%
"Dec 29, 2018",3706.8,"3,861.6","3,899.6","3,696.0",505.41K,-4.01%
"Dec 28, 2018",3861.6,"3,587.1","3,900.3","3,565.5",565.24K,7.66%
"Dec 27, 2018",3586.9,"3,793.4","3,822.6","3,560.8",543.44K,-5.45%
"Dec 26, 2018",3793.7,"3,762.8","3,841.9","3,680.3",567.11K,0.83%
"Dec 25, 2018",3762.5,"4,025.6","4,030.7","3,676.5",670.94K,-6.55%
"Dec 24, 2018",4026.1,"3,944.5","4,208.2","3,941.9",716.29K,2.07%
"Dec 23, 2018",3944.4,"3,964.3","4,037.1","3,904.6",572.21K,-0.50%
"Dec 22, 2018",3964.4,"3,850.9","3,977.2","3,803.7",554.59K,2.95%
"Dec 21, 2018",3850.9,"4,075.2","4,153.1","3,786.9",748.76K,-5.52%
"Dec 20, 2018",4076.0,"3,687.2","4,140.3","3,665.8",958.58K,10.55%
"Dec 19, 2018",3687.1,"3,668.1","3,924.7","3,647.5",792.40K,0.52%
"Dec 18, 2018",3668.0,"3,526.0","3,683.1","3,456.9",698.53K,4.02%
"Dec 17, 2018",3526.1,"3,248.3","3,597.4","3,243.1",534.78K,8.57%
"Dec 16, 2018",3247.9,"3,228.6","3,305.0","3,225.9",335.69K,0.60%
"Dec 15, 2018",3228.7,"3,247.8","3,282.3","3,177.0",332.95K,-0.59%
"Dec 14, 2018",3247.8,"3,315.4","3,336.6","3,199.1",445.56K,-2.04%
"Dec 13, 2018",3315.3,"3,466.2","3,474.4","3,284.8",435.89K,-4.35%
"Dec 12, 2018",3466.1,"3,390.2","3,510.2","3,379.4",391.17K,1.72%
"Dec 11, 2018",3407.7,"3,460.4","3,485.9","3,349.9",418.53K,-1.53%
"Dec 10, 2018",3460.5,"3,566.9","3,622.4","3,412.7",394.49K,-3.00%
"Dec 09, 2018",3567.5,"3,430.3","3,677.6","3,424.2",327.93K,4.00%
"Dec 08, 2018",3430.4,"3,422.3","3,507.7","3,302.9",424.40K,0.24%
"Dec 07, 2018",3422.2,"3,508.9","3,626.6","3,251.8",639.33K,-2.46%
"Dec 06, 2018",3508.6,"3,771.4","3,887.2","3,505.7",467.54K,-6.97%
"Dec 05, 2018",3771.6,"3,958.1","3,974.1","3,765.2",341.60K,-4.72%
"Dec 04, 2018",3958.5,"3,899.9","4,082.9","3,809.3",326.71K,1.56%
"Dec 03, 2018",3897.8,"4,160.3","4,177.0","3,839.9",355.10K,-6.31%
"Dec 02, 2018",4160.4,"4,196.2","4,316.1","4,105.3",298.63K,-0.85%
"Dec 01, 2018",4196.2,"4,038.7","4,299.1","3,967.1",316.30K,3.87%
"Nov 30, 2018",4039.7,"4,296.8","4,340.6","3,954.5",444.52K,-5.98%
"Nov 29, 2018",4296.5,"4,265.5","4,440.1","4,140.6",414.46K,0.73%
"Nov 28, 2018",4265.4,"3,866.4","4,391.8","3,866.4",533.04K,10.32%
"Nov 27, 2018",3866.5,"3,840.3","3,920.6","3,687.8",457.27K,0.77%
"Nov 26, 2018",3837.0,"4,061.0","4,179.0","3,679.8",571.04K,-5.54%
"Nov 25, 2018",4062.2,"3,920.3","4,198.4","3,634.2",619.95K,3.62%
"Nov 24, 2018",3920.4,"4,397.3","4,494.6","3,821.5",382.72K,-10.86%
"Nov 23, 2018",4398.0,"4,360.9","4,455.6","4,223.7",348.99K,0.96%
"Nov 22, 2018",4356.0,"4,646.4","4,695.7","4,346.7",261.85K,-6.09%
"Nov 21, 2018",4638.7,"4,523.0","4,743.7","4,393.0",412.74K,2.52%
"Nov 20, 2018",4524.6,"4,883.6","5,013.4","4,272.3",714.08K,-7.36%
"Nov 19, 2018",4883.8,"5,660.4","5,662.5","4,831.1",478.26K,-13.69%
"Nov 18, 2018",5658.3,"5,621.0","5,727.9","5,615.5",158.68K,0.65%
"Nov 17, 2018",5621.8,"5,636.2","5,645.5","5,561.4",156.51K,-0.26%
"Nov 16, 2018",5636.2,"5,723.5","5,747.7","5,539.7",224.12K,-1.45%
"Nov 15, 2018",5718.9,"5,854.0","5,878.5","5,384.1",375.86K,-2.11%
"Nov 14, 2018",5842.4,"6,428.9","6,453.3","5,619.2",438.21K,-9.13%
"Nov 13, 2018",6429.2,"6,435.0","6,466.8","6,386.7",137.60K,-0.09%
"Nov 12, 2018",6435.0,"6,445.0","6,475.9","6,409.4",130.16K,-0.17%
"Nov 11, 2018",6446.1,"6,427.1","6,451.7","6,359.0",127.40K,0.30%
"Nov 10, 2018",6427.1,"6,411.9","6,461.7","6,411.7",115.87K,0.24%
"Nov 09, 2018",6412.0,"6,473.8","6,496.1","6,390.0",151.60K,-0.96%
"Nov 08, 2018",6474.0,"6,565.3","6,577.3","6,466.3",159.30K,-1.39%
"Nov 07, 2018",6565.3,"6,503.1","6,594.3","6,502.0",170.76K,0.96%
"Nov 06, 2018",6502.8,"6,460.4","6,509.6","6,441.6",154.87K,0.67%
"Nov 05, 2018",6459.7,"6,478.2","6,489.2","6,431.7",128.51K,-0.29%
"Nov 04, 2018",6478.2,"6,386.2","6,508.9","6,359.7",128.76K,1.44%
"Nov 03, 2018",6386.2,"6,424.5","6,429.5","6,346.2",112.84K,-0.60%
"Nov 02, 2018",6424.7,"6,400.5","6,444.3","6,390.9",135.87K,0.38%
"Nov 01, 2018",6400.5,"6,365.9","6,421.8","6,354.2",124.16K,0.54%
"Oct 31, 2018",6365.9,"6,327.9","6,405.7","6,257.8",129.06K,0.64%
"Oct 30, 2018",6325.7,"6,336.7","6,469.9","6,316.5",128.21K,-0.15%
"Oct 29, 2018",6335.0,"6,486.1","6,498.4","6,310.5",160.52K,-2.33%
"Oct 28, 2018",6486.1,"6,494.6","6,502.2","6,461.2",93.97K,-0.12%
"Oct 27, 2018",6494.2,"6,510.0","6,534.0","6,473.7",76.72K,-0.24%
"Oct 26, 2018",6510.0,"6,507.0","6,570.5","6,498.5",97.17K,0.05%
"Oct 25, 2018",6507.0,"6,532.5","6,544.8","6,491.5",97.43K,-0.36%
"Oct 24, 2018",6530.7,"6,531.2","6,593.8","6,522.6",98.74K,0.03%
"Oct 23, 2018",6528.7,"6,558.6","6,573.6","6,500.5",108.86K,-0.41%
"Oct 22, 2018",6555.8,"6,583.0","6,612.7","6,529.5",101.57K,-0.41%
"Oct 21, 2018",6583.0,"6,575.9","6,643.1","6,568.0",92.94K,0.16%
"Oct 20, 2018",6572.2,"6,511.7","6,593.7","6,495.9",97.77K,0.92%
"Oct 19, 2018",6512.0,"6,576.4","6,603.2","6,506.9",121.44K,-0.94%
"Oct 18, 2018",6574.1,"6,690.1","6,736.3","6,530.6",134.15K,-1.68%
"Oct 17, 2018",6686.6,"6,718.9","6,745.9","6,637.8",136.71K,-0.28%
"Oct 16, 2018",6705.3,"6,712.4","6,836.7","6,645.4",155.85K,0.08%
"Oct 15, 2018",6699.8,"6,326.8","7,358.4","6,300.2",443.33K,5.90%
"Oct 14, 2018",6326.8,"6,321.6","6,390.9","6,300.0",99.38K,0.08%
"Oct 13, 2018",6321.7,"6,291.3","6,329.3","6,282.8",94.45K,0.48%
"Oct 12, 2018",6291.3,"6,239.2","6,344.8","6,206.8",147.40K,0.84%
"Oct 11, 2018",6239.1,"6,618.0","6,622.5","6,206.2",245.28K,-5.72%
"Oct 10, 2018",6618.0,"6,650.6","6,653.5","6,526.0",101.93K,-0.49%
"Oct 09, 2018",6650.8,"6,669.6","6,678.9","6,613.3",80.79K,-0.28%
"Oct 08, 2018",6669.6,"6,611.0","6,699.5","6,589.9",119.68K,0.89%
"Oct 07, 2018",6611.0,"6,596.3","6,633.9","6,523.8",77.06K,0.22%
"Oct 06, 2018",6596.3,"6,639.1","6,661.5","6,550.4",9.18M,-0.65%
"Oct 05, 2018",6639.1,"6,584.2","6,682.3","6,537.6",9.34M,0.83%
"Oct 04, 2018",6584.2,"6,509.2","6,653.0","6,487.8",9.31M,1.17%
"Oct 03, 2018",6507.8,"6,549.9","6,563.5","6,429.6",9.21M,-0.64%
"Oct 02, 2018",6549.9,"6,608.2","6,645.7","6,034.9",9.34M,-0.88%
"Oct 01, 2018",6608.2,"6,635.2","6,674.7","6,072.7",9.19M,-0.41%
"Sep 30, 2018",6635.2,"6,603.9","6,673.9","6,533.5",9.34M,0.47%
"Sep 29, 2018",6603.9,"6,633.9","6,648.4","6,464.4",9.42M,-0.48%
"Sep 28, 2018",6636.0,"6,685.7","6,809.2","6,538.6",9.57M,-0.79%
"Sep 27, 2018",6689.2,"6,463.7","6,738.3","6,428.8",9.34M,3.42%
"Sep 26, 2018",6468.1,"6,443.0","6,551.9","6,384.1",8.64M,0.36%
"Sep 25, 2018",6445.1,"6,590.6","6,590.6","5,977.0",7.34M,-2.11%
"Sep 24, 2018",6584.1,"6,713.3","6,728.1","6,559.1",7.57M,-1.79%
"Sep 23, 2018",6704.1,"6,729.6","6,789.4","6,666.4",7.34M,-0.38%
"Sep 22, 2018",6729.6,"6,766.7","6,833.3","6,635.5",7.31M,-0.55%
"Sep 21, 2018",6766.7,"6,490.9","6,780.5","6,489.8",7.73M,4.28%
"Sep 20, 2018",6489.2,"6,390.4","6,537.5","6,346.4",5.18M,1.55%
"Sep 19, 2018",6390.4,"6,342.0","6,478.7","6,144.5",3.54M,0.76%
"Sep 18, 2018",6342.0,"6,251.9","6,388.8","6,228.8",2.82M,1.44%
"Sep 17, 2018",6251.9,"6,500.2","6,533.5","6,215.9",3.26M,-3.82%
"Sep 16, 2018",6500.2,"6,519.0","6,520.8","6,406.2",3.34M,-0.29%
"Sep 15, 2018",6519.0,"6,482.6","6,562.9","6,470.3",3.16M,0.54%
"Sep 14, 2018",6483.7,"6,482.9","6,579.4","6,412.1",3.20M,0.01%
"Sep 13, 2018",6482.9,"6,338.0","6,867.3","6,337.8",3.53M,2.29%
"Sep 12, 2018",6338.0,"6,293.9","6,353.5","6,204.5",3.04M,0.70%
"Sep 11, 2018",6293.9,"6,320.7","6,391.8","6,189.6",3.30M,-0.43%
"Sep 10, 2018",6321.0,"6,238.5","6,358.5","6,237.3",3.11M,1.32%
"Sep 09, 2018",6238.5,"6,184.3","6,432.6","6,148.8",2.84M,0.88%
"Sep 08, 2018",6184.3,"6,390.9","6,484.3","6,132.3",3.46M,-3.23%
"Sep 07, 2018",6390.9,"6,514.1","6,540.6","6,316.2",3.30M,-1.89%
"Sep 06, 2018",6514.0,"6,706.8","6,732.9","6,337.8",4.02M,-2.87%
"Sep 05, 2018",6706.8,"7,377.5","7,407.5","6,691.8",4.55M,-9.09%
"Sep 04, 2018",7377.5,"7,264.2","7,409.9","7,234.5",3.92M,1.56%
"Sep 03, 2018",7264.2,"7,289.8","7,330.7","7,182.8",3.87M,-0.41%
"Sep 02, 2018",7293.9,"7,189.6","7,334.8","7,117.3",3.90M,1.45%
"Sep 01, 2018",7189.6,"7,032.4","7,264.3","7,020.4",3.52M,2.21%
"Aug 31, 2018",7033.8,"6,993.7","7,080.2","6,698.0",4.21M,0.57%
"Aug 30, 2018",6993.7,"7,029.2","7,050.2","6,798.0",3.74M,-0.50%
"Aug 29, 2018",7029.1,"7,074.6","7,121.4","6,926.7",4.11M,-0.64%
"Aug 28, 2018",7074.6,"6,897.6","7,129.7","6,861.2",3.79M,2.57%
"Aug 27, 2018",6897.6,"6,712.7","6,902.9","6,650.4",3.26M,2.75%
"Aug 26, 2018",6712.7,"6,734.9","6,892.7","6,573.1",3.37M,-0.33%
"Aug 25, 2018",6734.8,"6,680.6","6,783.4","6,655.3",3.59M,0.81%
"Aug 24, 2018",6680.4,"6,521.2","6,721.2","6,472.8",3.70M,2.44%
"Aug 23, 2018",6521.2,"6,359.9","6,550.2","6,359.2",2.76M,2.54%
"Aug 22, 2018",6359.6,"6,482.2","6,840.8","6,304.8",3.63M,-1.89%
"Aug 21, 2018",6482.2,"6,268.1","6,484.1","6,257.4",1.46M,3.41%
"Aug 20, 2018",6268.1,"6,474.2","6,516.4","6,255.9",3.10M,-3.29%
"Aug 19, 2018",6481.5,"6,379.1","6,534.8","6,316.0",2.71M,1.61%
"Aug 18, 2018",6379.1,"6,581.8","6,626.4","6,295.5",3.15M,-3.08%
"Aug 17, 2018",6581.7,"6,306.7","6,581.7","6,291.8",3.20M,4.36%
"Aug 16, 2018",6306.7,"6,256.9","6,470.9","6,249.8",3.50M,0.80%
"Aug 15, 2018",6256.9,"6,190.2","6,592.8","6,177.9",3.74M,1.08%
"Aug 14, 2018",6190.2,"6,255.3","6,255.3","5,898.3",3.66M,-1.04%
"Aug 13, 2018",6255.3,"6,313.0","6,524.1","6,159.6",234.09K,-0.91%
"Aug 12, 2018",6313.0,"6,232.1","6,453.0","6,169.8",216.33K,1.31%
"Aug 11, 2018",6231.6,"6,152.8","6,469.6","6,009.8",247.34K,1.29%
"Aug 10, 2018",6152.3,"6,539.5","6,570.2","6,043.4",298.82K,-5.91%
"Aug 09, 2018",6538.8,"6,283.7","6,620.2","6,197.0",237.66K,4.06%
"Aug 08, 2018",6283.6,"6,725.2","6,725.2","6,138.8",311.54K,-6.56%
"Aug 07, 2018",6724.9,"6,943.6","7,149.7","6,689.9",232.48K,-3.15%
"Aug 06, 2018",6943.6,"7,027.8","7,143.6","6,852.5",168.87K,-1.19%
"Aug 05, 2018",7027.1,"7,014.0","7,087.6","6,887.9",177.64K,0.18%
"Aug 04, 2018",7014.3,"7,418.9","7,484.2","6,949.7",222.57K,-5.46%
"Aug 03, 2018",7419.0,"7,535.6","7,535.6","7,293.5",226.46K,-1.55%
"Aug 02, 2018",7535.6,"7,606.4","7,701.4","7,470.6",216.34K,-0.93%
"Aug 01, 2018",7606.4,"7,728.5","7,753.2","7,449.2",237.69K,-1.59%
"Jul 31, 2018",7729.4,"8,176.4","8,176.5","7,649.8",266.94K,-5.48%
"Jul 30, 2018",8177.1,"8,214.7","8,262.0","7,874.4",242.21K,-0.47%
"Jul 29, 2018",8215.6,"8,231.5","8,275.4","8,113.3",155.24K,-0.22%
"Jul 28, 2018",8234.1,"8,186.8","8,234.1","8,077.4",147.14K,0.57%
"Jul 27, 2018",8187.4,"7,936.9","8,273.8","7,808.3",243.22K,3.15%
"Jul 26, 2018",7937.0,"8,173.9","8,304.3","7,861.0",235.45K,-2.90%
"Jul 25, 2018",8173.7,"8,404.9","8,484.6","8,062.1",269.23K,-2.78%
"Jul 24, 2018",8407.0,"7,723.1","8,479.8","7,701.9",345.32K,8.86%
"Jul 23, 2018",7723.0,"7,412.4","7,809.6","7,379.2",272.15K,4.19%
"Jul 22, 2018",7412.3,"7,409.0","7,575.3","7,343.7",204.16K,0.05%
"Jul 21, 2018",7408.7,"7,339.3","7,460.8","7,223.5",160.77K,0.95%
"Jul 20, 2018",7339.4,"7,477.6","7,683.6","7,292.0",258.85K,-1.85%
"Jul 19, 2018",7477.5,"7,383.9","7,558.4","7,288.8",247.25K,1.27%
"Jul 18, 2018",7383.6,"7,321.6","7,581.2","7,249.3",333.32K,0.84%
"Jul 17, 2018",7322.0,"6,729.8","7,453.2","6,666.0",337.75K,8.80%
"Jul 16, 2018",6729.9,"6,362.8","6,749.2","6,344.1",312.12K,5.77%
"Jul 15, 2018",6362.9,"6,254.8","6,399.6","6,238.5",180.67K,1.73%
"Jul 14, 2018",6254.8,"6,229.5","6,313.5","6,192.5",243.71K,0.40%
"Jul 13, 2018",6230.2,"6,250.8","6,333.8","6,144.5",233.22K,-0.33%
"Jul 12, 2018",6250.6,"6,389.1","6,389.4","6,088.8",289.24K,-2.17%
"Jul 11, 2018",6389.1,"6,307.2","6,409.7","6,296.6",243.82K,1.30%
"Jul 10, 2018",6307.2,"6,668.4","6,686.8","6,291.5",315.27K,-5.40%
"Jul 09, 2018",6667.1,"6,715.1","6,793.8","6,637.7",289.48K,-0.71%
"Jul 08, 2018",6714.8,"6,765.4","6,784.0","6,694.3",267.60K,-0.75%
"Jul 07, 2018",6765.5,"6,617.7","6,805.9","6,531.1",114.57K,2.23%
"Jul 06, 2018",6617.7,"6,546.5","6,638.2","6,458.3",132.69K,1.09%
"Jul 05, 2018",6546.5,"6,598.0","6,693.6","6,466.1",166.18K,-0.79%
"Jul 04, 2018",6598.4,"6,513.8","6,774.5","6,442.3",143.04K,1.30%
"Jul 03, 2018",6513.5,"6,618.6","6,676.6","6,513.5",150.19K,-1.60%
"Jul 02, 2018",6619.5,"6,349.1","6,680.0","6,275.0",179.92K,3.97%
"Jul 01, 2018",6366.8,"6,398.5","6,445.1","6,284.7",128.51K,-0.50%
"Jun 30, 2018",6398.9,"6,213.4","6,498.5","6,204.0",189.33K,2.99%
"Jun 29, 2018",6213.3,"5,883.2","6,284.9","5,818.5",206.96K,5.61%
"Jun 28, 2018",5883.5,"6,154.9","6,178.4","5,854.0",156.05K,-4.41%
"Jun 27, 2018",6154.9,"6,081.1","6,187.3","6,025.4",133.42K,1.20%
"Jun 26, 2018",6082.1,"6,256.9","6,267.7","6,060.0",176.66K,-2.79%
"Jun 25, 2018",6256.6,"6,155.1","6,331.2","6,101.7",210.69K,1.66%
"Jun 24, 2018",6154.6,"6,167.9","6,248.3","5,785.3",240.60K,-0.21%
"Jun 23, 2018",6167.3,"6,055.2","6,259.0","6,032.8",142.90K,1.84%
"Jun 22, 2018",6055.7,"6,728.2","6,739.7","5,955.0",278.22K,-9.99%
"Jun 21, 2018",6728.0,"6,765.8","6,797.5","6,695.1",99.29K,-0.55%
"Jun 20, 2018",6765.4,"6,752.3","6,812.7","6,575.1",121.48K,0.19%
"Jun 19, 2018",6752.4,"6,719.8","6,839.5","6,681.5",120.54K,0.49%
"Jun 18, 2018",6719.8,"6,460.5","6,794.5","6,410.9",135.70K,4.02%
"Jun 17, 2018",6460.3,"6,505.8","6,593.0","6,452.1",90.67K,-0.70%
"Jun 16, 2018",6505.8,"6,410.0","6,564.2","6,358.0",108.79K,1.49%
"Jun 15, 2018",6410.3,"6,647.3","6,655.8","6,395.7",143.53K,-3.56%
"Jun 14, 2018",6647.1,"6,312.3","6,711.5","6,283.6",201.54K,5.30%
"Jun 13, 2018",6312.3,"6,558.5","6,624.6","6,129.1",237.48K,-3.75%
"Jun 12, 2018",6558.2,"6,885.9","6,887.2","6,476.0",178.26K,-4.76%
"Jun 11, 2018",6885.9,"6,775.2","6,910.8","6,657.2",174.88K,1.64%
"Jun 10, 2018",6775.1,"7,515.8","7,516.3","6,668.1",275.69K,-9.85%
"Jun 09, 2018",7515.8,"7,622.1","7,689.0","7,493.3",97.56K,-1.40%
